_id.country,_id.pub_date,avg_body_sentiment_comparative,avg_body_wink_normalized_score
USSR,2009-12-29,-0.003174647878666,-0.1856404288506
Suriname,2009-12-29,-0.017806935332709,-0.415049032719009
Hong Kong,2009-12-29,-0.018728222996516,-0.110114310421047
Portugal,2009-12-29,0.004922067268253,0.074181185171739
India,2009-12-29,0.05109649122807,1.08475533689085
Clipperton Island,2009-12-29,-0.003174647878666,-0.1856404288506
Spain,2009-12-29,0.004922067268253,0.074181185171739
Somalia,2009-12-30,-0.003598740440846,-0.010771385261754
Romania,2009-12-30,-0.003598740440846,-0.010771385261754
Panama,2009-12-30,-0.003598740440846,-0.010771385261754
Thailand,2009-12-30,-0.003598740440846,-0.010771385261754
Georgia,2009-12-30,-0.003598740440846,-0.010771385261754
Spain,2009-12-30,-0.003598740440846,-0.010771385261754
Ukraine,2009-12-30,0.016506602641057,0.083820876804156
